duration,src_bytes,dst_bytes,wrong_fragment,urgent,hot,num_failed_logins,lnum_compromised,lroot_shell,lsu_attempted,lnum_root,lnum_file_creations,lnum_shells,lnum_access_files,lnum_outbound_cmds,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,class
0,0.000017,0.000028,0,0,0,0,0,0,0,0,0,0,0,0,0.001957,0.001957,0,0,0,0,1,0,0,1,0.996078,1,0.01,0,0,0,0,0,0,0
0,0.000017,0.000028,0,0,0,0,0,0,0,0,0,0,0,0,0.001957,0.001957,0,0,0,0,1,0,0,1,0.996078,1,0.01,0,0,0,0,0,0,0
0,0.000017,0.000028,0,0,0,0,0,0,0,0,0,0,0,0,0.001957,0.001957,0,0,0,0,1,0,0,1,0.996078,1,0.01,0,0,0,0,0,0,0
0,0.000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003914,0.001957,0,0,0,0,0.5,1,0,0.039216,0.011765,0.3,0.3,0.3,0,0,0,0,0,0
0,0.000017,0.000028,0,0,0,0,0,0,0,0,0,0,0,0,0.001957,0.001957,0,0,0,0,1,0,0,1,0.992157,0.99,0.01,0,0,0,0,0,0,0
0,0.000035,0.000036,0,0,0,0,0,0,0,0,0,0,0,0,0.007828,0.007828,0,0,0,0,1,0,0,0.278431,1,1,0,0.01,0.01,0,0,0,0,0
0,0.000037,0.00005,0,0,0,0,0,0,0,0,0,0,0,0,0.001957,0.037182,0,0,0,0,1,0,0.11,0.011765,1,1,0,0.33,0.07,0.33,0,0,0,0
0,0.000017,0.000028,0,0,0,0,0,0,0,0,0,0,0,0,0.001957,0.001957,0,0,0,0,1,0,0,1,0.996078,1,0.01,0.01,0,0,0,0,0,0
0.000018,0.000504,0.000063,0,0,0,0,0,0,0,0,0,0,0,0,0.001957,0.003914,0,0,0,0,1,0,1,0.211765,0.152941,0.72,0.11,0.02,0,0.02,0,0.09,0.13,0
0,0.000047,0.00265,0,0,0,0,0,0,0,0,0,0,0,0,0.003914,0.003914,0,0,0,0,1,0,0,0.694118,1,1,0,0.01,0.01,0,0,0,0,0
0,0.000046,0.000681,0,0,0,0,0,0,0,0,0,0,0,0,0.023483,0.023483,0,0,0,0,1,0,0,0.733333,1,1,0,0.01,0.01,0,0,0,0,0
0,0.000047,0.000145,0,0,0,0,0,0,0,0,0,0,0,0,0.041096,0.043053,0,0,0,0,1,0,0.09,0.768627,1,1,0,0.01,0.01,0,0,0,0,0
0,0.000043,0.001775,0,0,0,0,0,0,0,0,0,0,0,0,0.009785,0.009785,0,0,0,0,1,0,0,0.227451,1,1,0,0.02,0.05,0,0,0,0,0
0,0.000035,0.000036,0,0,0,0,0,0,0,0,0,0,0,0,0.005871,0.005871,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0
0,0.000036,0.001699,0,0,0,0,0,0,0,0,0,0,0,0,0.02544,0.02544,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0
0,0.000035,0.00376,0,0,0,0,0,0,0,0,0,0,0,0,0.043053,0.04501,0,0,0,0,1,0,0.09,1,1,1,0,0,0,0,0,0,0,0
0,0.000118,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003914,0.003914,0,0,0,0,1,0,0,0.301961,0.129412,0.34,0.08,0.34,0.06,0,0,0,0,0
0,0.000017,0.000028,0,0,0,0,0,0,0,0,0,0,0,0,0.003914,0.003914,0,0,0,0,1,0,0,1,0.996078,1,0.01,0,0,0,0,0,0,0
0,0.005594,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019569,0.019569,0,0,0,0,1,0,0,0.360784,0.172549,0.43,0.07,0.43,0.05,0,0,0,0,0
0,0.001323,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039139,0.039139,0,0,0,0,1,0,0,0.403922,0.211765,0.49,0.06,0.49,0.04,0,0,0,0,0
0,0.000017,0.000028,0,0,0,0,0,0,0,0,0,0,0,0,0.003914,0.003914,0,0,0,0,1,0,0,1,0.996078,1,0.01,0,0,0,0,0,0,0
0,0.000089,0.000065,0,0,0,0,0,0,0,0,0,0,0,0,0.001957,0.001957,0,0,0,0,1,0,0,0.329412,0.690196,0.75,0.08,0.01,0.01,0.01,0.01,0.08,0.05,0
0,0.000036,0.000035,0,0,0,0,0,0,0,0,0,0,0,0,0.015656,0.015656,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0
0,0.000017,0.000028,0,0,0,0,0,0,0,0,0,0,0,0,0.001957,0.001957,0,0,0,0,1,0,0,1,0.988235,0.99,0.01,0,0,0,0,0,0,0
0,0.00005,0.000053,0,0,0,0,0,0,0,0,0,0,0,0,0.005871,0.005871,0,0,0,0,1,0,0,0.752941,1,1,0,0.01,0.04,0,0,0,0,0
0.000018,0.000264,0.000063,0,0,0,0,0,0,0,0,0,0,0,0,0.001957,0.005871,0,0,0,0,1,0,1,0.67451,0.494118,0.37,0.04,0.01,0.02,0.01,0,0.02,0.02,0
0.000367,0.000037,0.000147,0,0,0.039604,0,0,0,0,0,0,0,0,0,0.003914,0.001957,0,0,0,0,0.5,1,0,0.701961,0.188235,0.27,0.04,0.01,0,0.01,0.02,0.02,0,0
0,0.000051,0.000131,0,0,0,0,0,0,0,0,0,0,0,0,0.011742,0.015656,0,0,0,0,1,0,0.25,0.023529,1,1,0,0.17,0.04,0,0,0,0,0
0,0.000051,0.000396,0,0,0,0,0,0,0,0,0,0,0,0,0.015656,0.035225,0,0,0,0,1,0,0.11,0.031373,1,1,0,0.12,0.03,0,0,0,0,0
0,0.000037,0.002786,0,0,0,0,0,0,0,0,0,0,0,0,0.005871,0.046967,0,0,0,0,1,0,0.12,1,1,1,0,0,0,0,0,0,0,0
0,0.000035,0.00005,0,0,0,0,0,0,0,0,0,0,0,0,0.021526,0.062622,0,0,0,0,1,0,0.09,1,1,1,0,0,0,0,0,0,0,0
0,0.000034,0.001442,0,0,0,0,0,0,0,0,0,0,0,0,0.039139,0.041096,0,0,0,0,1,0,0.1,1,1,1,0,0,0,0,0,0,0,0
0,0.000098,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003914,0.001957,0,0,0,0,0.5,1,0,0.682353,0.219608,0.32,0.03,0.32,0,0,0,0,0,0
0,0.00005,0.00013,0,0,0,0,0,0,0,0,0,0,0,0,0.017613,0.072407,0,0,0,0,1,0,0.11,0.086275,1,1,0,0.05,0.04,0,0,0,0,0
0,0.000017,0.000028,0,0,0,0,0,0,0,0,0,0,0,0,0.001957,0.001957,0,0,0,0,1,0,0,1,0.996078,1,0.01,0,0,0,0,0,0,0
0,0.000049,0.000294,0,0,0,0,0,0,0,0,0,0,0,0,0.013699,0.013699,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0
0,0.000039,0.000145,0,0,0,0,0,0,0,0,0,0,0,0,0.017613,0.017613,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0
0,0.000039,0.000807,0,0,0,0,0,0,0,0,0,0,0,0,0.015656,0.015656,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0
0,0.000144,0.000063,0,0,0,0,0,0,0,0,0,0,0,0,0.001957,0.001957,0,0,0,0,1,0,0,0.941176,0.396078,0.38,0.03,0,0.02,0.01,0,0.01,0.03,0
0,0.000037,0.000455,0,0,0,0,0,0,0,0,0,0,0,0,0.005871,0.005871,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0
0,0.000037,0.000134,0,0,0,0,0,0,0,0,0,0,0,0,0.02544,0.02544,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0
0,0.00004,0.000038,0,0,0,0,0,0,0,0,0,0,0,0,0.04501,0.04501,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0
0,0.000017,0.000028,0,0,0,0,0,0,0,0,0,0,0,0,0.001957,0.001957,0,0,0,0,1,0,0,1,0.996078,1,0.01,0.01,0,0,0,0,0,0
0,0.000037,0.000734,0,0,0,0,0,0,0,0,0,0,0,0,0.021526,0.021526,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0
0,0.000039,0.000425,0,0,0,0,0,0,0,0,0,0,0,0,0.041096,0.041096,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0
0,0.000038,0.000704,0,0,0,0,0,0,0,0,0,0,0,0,0.060665,0.060665,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0
0,0.000038,0.00013,0,0,0,0,0,0,0,0,0,0,0,0,0.080235,0.080235,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0
0,0.000038,0.000127,0,0,0,0,0,0,0,0,0,0,0,0,0.099804,0.099804,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0
0,0.000038,0.000417,0,0,0,0,0,0,0,0,0,0,0,0,0.11546,0.11546,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0
0,0.00005,0.000294,0,0,0,0,0,0,0,0,0,0,0,0,0.007828,0.007828,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0
0,0.00005,0.001034,0,0,0,0,0,0,0,0,0,0,0,0,0.003914,0.003914,0,0,0,0,1,0,0,0.003922,1,1,0,1,0.01,0,0,0,0,0
0,0.000017,0.000028,0,0,0,0,0,0,0,0,0,0,0,0,0.001957,0.001957,0,0,0,0,1,0,0,1,0.996078,1,0.01,0.01,0,0,0,0,0,0
0.000018,0.000162,0.000064,0,0,0,0,0,0,0,0,0,0,0,0,0.001957,0.005871,0,0,0,0,1,0,1,0.003922,0.439216,1,0,1,0.02,0,0,0,0,0
0.000018,0.000182,0.000063,0,0,0,0,0,0,0,0,0,0,0,0,0.001957,0.001957,0,0,0,0,1,0,0,0.015686,0.627451,0.75,0.5,0.25,0.02,0,0,0,0,0
0,0.000017,0.000028,0,0,0,0,0,0,0,0,0,0,0,0,0.001957,0.001957,0,0,0,0,1,0,0,1,0.992157,0.99,0.01,0,0,0,0,0,0,0
0,0.000039,0.000128,0,0,0,0,0,0,0,0,0,0,0,0,0.013699,0.013699,0,0,0,0,1,0,0,0.14902,1,1,0,0.03,0.01,0,0,0,0,0
0,0.000044,0.000101,0,0,0,0,0,0,0,0,0,0,0,0,0.003914,0.031311,0,0,0,0,1,0,0.19,0.007843,1,1,0,0.5,0.05,0,0,0,0,0
0,0.000039,0.00005,0,0,0,0,0,0,0,0,0,0,0,0,0.043053,0.050881,0,0,0,0,1,0,0.12,0.207843,1,1,0,0.02,0.01,0,0,0,0,0
0,0.000039,0.000127,0,0,0,0,0,0,0,0,0,0,0,0,0.060665,0.068493,0,0,0,0,1,0,0.09,0.243137,1,1,0,0.02,0.01,0,0,0,0,0
0,0.000141,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003914,0.003914,0,0,0,0,1,0,0,0.054902,0.152941,0.43,0.14,0.43,0.05,0,0,0,0,0
0,0.000136,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019569,0.019569,0,0,0,0,1,0,0,0.094118,0.192157,0.67,0.08,0.67,0.04,0,0,0,0,0
0,0.000017,0.000028,0,0,0,0,0,0,0,0,0,0,0,0,0.003914,0.003914,0,0,0,0,1,0,0,1,0.996078,1,0.01,0,0,0,0,0,0,0
0,0.000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003914,0.003914,0,0,0,0,1,0,0,1,0.011765,0.01,0.01,0.01,0,0,0,0,0,0
0,0.000017,0.000028,0,0,0,0,0,0,0,0,0,0,0,0,0.001957,0.001957,0,0,0,0,1,0,0,1,0.996078,1,0.01,0,0,0,0,0,0,0
0,0.000017,0.000028,0,0,0,0,0,0,0,0,0,0,0,0,0.001957,0.001957,0,0,0,0,1,0,0,1,0.996078,1,0.01,0.01,0,0,0,0,0,0
0,0.000017,0.000028,0,0,0,0,0,0,0,0,0,0,0,0,0.003914,0.003914,0,0,0,0,1,0,0,1,0.996078,1,0.01,0,0,0,0,0,0,0
0,0.000007,0.000021,0,0,0,0,0,0,0,0,0,0,0,0,0.007828,0.017613,0,0,0,0,1,0,0.44,1,0.964706,0.96,0.01,0,0,0,0,0,0,0
0.000018,0.000258,0.000072,0,0,0,0,0,0,0,0,0,0,0,0,0.001957,0.003914,0,0,0,0,1,0,1,0.031373,0.627451,0.88,0.25,0.12,0.02,0,0,0,0,0
0,0.000193,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017613,0.001957,0,0,0,0,0.11,0.56,0,0.098039,0.003922,0.04,0.4,0.76,0,0,0,0,0,0
0,0.000017,0.000028,0,0,0,0,0,0,0,0,0,0,0,0,0.001957,0.001957,0,0,0,0,1,0,0,1,0.996078,1,0.01,0,0,0,0,0,0,0
0,0.000048,0.000419,0,0,0,0,0,0,0,0,0,0,0,0,0.003914,0.003914,0,0,0,0,1,0,0,0.007843,0.933333,1,0,0.5,0.05,0,0,0,0,0
0,0.000046,0.000194,0,0,0,0,0,0,0,0,0,0,0,0,0.023483,0.023483,0,0,0,0,1,0,0,0.047059,0.933333,1,0,0.08,0.05,0,0,0,0,0
0,0.00004,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003914,0.003914,0,0,0,0,1,0,0,0.035294,0.14902,0.33,0.22,0.33,0.08,0,0,0.11,0,0
0,0.000007,0.000021,0,0,0,0,0,0,0,0,0,0,0,0,0.005871,0.009785,0,0,0,0,1,0,0.4,1,0.933333,0.93,0.01,0,0,0,0,0,0,0
0,0.000017,0.000028,0,0,0,0,0,0,0,0,0,0,0,0,0.001957,0.001957,0,0,0,0,1,0,0,1,0.992157,0.99,0.01,0.01,0,0,0,0,0,0
0.000514,0.000137,0.000497,0,0,0.178218,0,0,0,0,0,0,0,0,0,0.001957,0.001957,0,0,0,0,1,0,0,0.156863,0.015686,0.1,0.43,0.03,0,0.03,0,0,0,0
0,0.000121,0.000063,0,0,0,0,0,0,0,0,0,0,0,0,0.001957,0.001957,0,0,0,0,1,0,0,0.047059,0.623529,0.83,0.25,0.08,0.01,0,0,0,0,0
0,0.002499,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001957,0.001957,0,0,0,0,1,0,0,0.07451,0.184314,0.63,0.11,0.63,0.06,0,0,0.05,0,0
0,0.000024,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021526,0.021526,0,0,0,0,1,0,0,0.113725,0.211765,0.76,0.07,0.76,0.06,0,0,0.03,0,0
